Frame Number,Player Coordinates,Resp Team,Ball Coordinates,Distance
7,"[144.98823709297, 245.955194561171]",1,"[131.45791208756503, 344.82933699715386]",99.7956198297446
7,"[194.24432901200012, 357.51428194980326]",1,"[131.45791208756503, 344.82933699715386]",64.05499183249292
7,"[242.84316415064075, 222.54645206160887]",1,"[131.45791208756503, 344.82933699715386]",165.4079149415609
7,"[201.4891412048549, 372.3408105812731]",1,"[131.45791208756503, 344.82933699715386]",75.24130667690478
7,"[101.62566802929607, 335.64387965146904]",0,"[131.45791208756503, 344.82933699715386]",31.214346256193153
7,"[196.5147811535494, 188.21314699163247]",1,"[131.45791208756503, 344.82933699715386]",169.59076385379663
7,"[185.9347334702704, 374.9858989196354]",0,"[131.45791208756503, 344.82933699715386]",62.26670293943344
7,"[106.48691966606808, 245.11210234443368]",0,"[131.45791208756503, 344.82933699715386]",102.79629054250994
7,"[209.21507330379822, 301.7309816487188]",0,"[131.45791208756503, 344.82933699715386]",88.9024429031467
7,"[161.52678311945382, 78.1036213534921]",1,"[131.45791208756503, 344.82933699715386]",268.41524619655246
7,"[141.67692871566908, 312.8583800882308]",0,"[131.45791208756503, 344.82933699715386]",33.56442143874498
7,"[152.90814858224783, 510.904712319975]",0,"[131.45791208756503, 344.82933699715386]",167.45489820932
7,"[197.92070441513525, 278.3826607346449]",1,"[131.45791208756503, 344.82933699715386]",93.98118721484848
7,"[39.65631766315243, 356.0287029289167]",1,"[131.45791208756503, 344.82933699715386]",92.4822065920676
7,"[209.46500346948085, 370.66874708155257]",0,"[131.45791208756503, 344.82933699715386]",82.17530906164144
7,"[167.47599847938721, 366.8534543847705]",1,"[131.45791208756503, 344.82933699715386]",42.2180564928359
7,"[111.84036272517379, 373.9009889518808]",0,"[131.45791208756503, 344.82933699715386]",35.07148685702724
7,"[141.9492629078852, 178.99091620253466]",1,"[131.45791208756503, 344.82933699715386]",166.1699438938589
8,"[201.4145675187236, 372.4154796676796]",1,"[132.12613736807495, 343.4044511071361]",75.11675133338761
8,"[153.11557268483833, 510.1060867557603]",0,"[132.12613736807495, 343.4044511071361]",168.01783156213884
8,"[194.48742998848456, 356.3063797738942]",1,"[132.12613736807495, 343.4044511071361]",63.68194862447654
8,"[145.09348004005594, 243.1019157908312]",1,"[132.12613736807495, 343.4044511071361]",101.13728573998397
8,"[196.71722580294968, 185.4512786394657]",1,"[132.12613736807495, 343.4044511071361]",170.64938733497826
8,"[243.25829275852223, 220.25219360702647]",1,"[132.12613736807495, 343.4044511071361]",165.88198964655513
8,"[129.12652523122333, 339.95580875443966]",1,"[132.12613736807495, 343.4044511071361]",4.570646239686364
8,"[106.49097497995325, 242.96390544641415]",0,"[132.12613736807495, 343.4044511071361]",103.66033360591184
8,"[198.115697011708, 276.9829024248839]",1,"[132.12613736807495, 343.4044511071361]",93.6292908832989
8,"[185.7560127557042, 374.93770759866237]",0,"[132.12613736807495, 343.4044511071361]",62.21342137395296
8,"[161.9563587778722, 74.85262574951693]",1,"[132.12613736807495, 343.4044511071361]",270.2034881571048
8,"[209.4844206360083, 299.96451216249966]",0,"[132.12613736807495, 343.4044511071361]",88.72052911066051
8,"[141.7860958779042, 312.4729691101452]",0,"[132.12613736807495, 343.4044511071361]",32.40480484344558
8,"[40.28602967610987, 356.4598869346317]",1,"[132.12613736807495, 343.4044511071361]",92.76340757819108
8,"[167.64554769617286, 366.56298337204663]",1,"[132.12613736807495, 343.4044511071361]",42.40219483376646
8,"[209.10854015691237, 371.00541268111454]",0,"[132.12613736807495, 343.4044511071361]",81.78082549687939
8,"[153.8454396622994, 379.6086873445214]",0,"[132.12613736807495, 343.4044511071361]",42.21936538699165
8,"[141.89390535489568, 176.83325720354136]",1,"[132.12613736807495, 343.4044511071361]",166.8573400540513
8,"[102.40274292726421, 335.9489843025661]",0,"[132.12613736807495, 343.4044511071361]",30.64415380391607
8,"[112.53141741031021, 371.83612076312306]",1,"[132.12613736807495, 343.4044511071361]",34.5298840086438
9,"[153.40175941790466, 508.69680116865106]",0,"[132.166747906037, 342.91097949853]",167.14025362176022
9,"[201.2177092397398, 372.61873354288133]",1,"[132.166747906037, 342.91097949853]",75.17037921593979
9,"[145.05214900788184, 241.21330513608586]",1,"[132.166747906037, 342.91097949853]",102.51073374181436
9,"[129.51213947004442, 337.94500170600446]",1,"[132.166747906037, 342.91097949853]",5.630975171699836
9,"[196.75948389513349, 184.42536750758802]",1,"[132.166747906037, 342.91097949853]",171.1429541368868
9,"[194.63627203873202, 355.7847168870776]",1,"[132.166747906037, 342.91097949853]",63.78224329478114
9,"[243.5849153473035, 218.00213794171177]",1,"[132.166747906037, 342.91097949853]",167.3804849289081
9,"[185.54007234190894, 374.5870580842999]",0,"[132.166747906037, 342.91097949853]",62.06517313202883
9,"[198.32824476948187, 275.2852568597801]",1,"[132.166747906037, 342.91097949853]",94.6075157142643
9,"[106.36930291116056, 240.63541740226833]",0,"[132.166747906037, 342.91097949853]",105.47890201537915
9,"[162.19872085504397, 71.13377769415985]",1,"[132.166747906037, 342.91097949853]",273.4314664039661
9,"[209.72562454436448, 298.86459227553956]",0,"[132.166747906037, 342.91097949853]",89.19340543334422
9,"[167.6830176962137, 365.6590560834893]",1,"[132.166747906037, 342.91097949853]",42.176775696155254
9,"[209.0008506616617, 371.09813772791017]",0,"[132.166747906037, 342.91097949853]",81.84128075311389
9,"[153.9777203175558, 378.1932930475523]",0,"[132.166747906037, 342.91097949853]",41.479635568644454
9,"[113.65116423112735, 372.43719463346275]",0,"[132.166747906037, 342.91097949853]",34.85145935275754
9,"[40.724445714842396, 356.5537175208629]",1,"[132.166747906037, 342.91097949853]",92.4544154206372
9,"[178.43421692916792, 240.52455483994652]",0,"[132.166747906037, 342.91097949853]",112.35505615758544
9,"[141.92159594908833, 311.5864535832578]",0,"[132.166747906037, 342.91097949853]",32.80827615342785
9,"[141.84540791152966, 175.11331418049983]",1,"[132.166747906037, 342.91097949853]",168.07656869916045
10,"[153.40304500635844, 508.68097131307013]",0,"[132.16637893271945, 342.9165614551609]",167.1192255889913
10,"[201.22198849543932, 372.6077661746419]",1,"[132.16637893271945, 342.9165614551609]",75.1681105906816
10,"[145.05193550636193, 241.21701045086365]",1,"[132.16637893271945, 342.9165614551609]",102.51261504170203
10,"[129.51467740783318, 337.9456415031692]",1,"[132.16637893271945, 342.9165614551609]",5.6339654015793466
10,"[196.76270937527033, 184.46258011891655]",1,"[132.16637893271945, 342.9165614551609]",171.11502011205823
10,"[194.633260827816, 355.7774542516818]",1,"[132.16637893271945, 342.9165614551609]",63.77706403731316
10,"[243.59418389799606, 217.9713814817306]",1,"[132.16637893271945, 342.9165614551609]",167.4140188812532
10,"[185.5387958074365, 374.59260638158065]",0,"[132.16637893271945, 342.9165614551609]",62.064375492138346
10,"[198.32927497684963, 275.2851079046663]",1,"[132.16637893271945, 342.9165614551609]",94.61259071761583
10,"[106.36850962017107, 240.64143962616043]",0,"[132.16637893271945, 342.9165614551609]",105.47857889734868
10,"[162.19667107937607, 71.1547951302935]",1,"[132.16637893271945, 342.9165614551609]",273.4159397007156
10,"[209.7268639653773, 298.8642924050183]",0,"[132.16637893271945, 342.9165614551609]",89.19770875402176
10,"[167.68247827261197, 365.6330193033139]",1,"[132.16637893271945, 342.9165614551609]",42.15958692264462
10,"[153.97666633545083, 378.1937607636581]",0,"[132.16637893271945, 342.9165614551609]",41.47492528795173
10,"[209.0057731315785, 371.08687061855983]",0,"[132.16637893271945, 342.9165614551609]",81.84044733021156
10,"[113.64996922613659, 372.4262411708724]",0,"[132.16637893271945, 342.9165614551609]",34.83789065580624
